id,title,price,availability,rating,disponibility,category,image
1,A Light in the Attic,Â£51.77,In stock,Three,In stock (22 available),Poetry,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
2,Tipping the Velvet,Â£53.74,In stock,One,In stock (20 available),Historical Fiction,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
3,Soumission,Â£50.10,In stock,One,In stock (20 available),Fiction,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
4,Sharp Objects,Â£47.82,In stock,Four,In stock (20 available),Mystery,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
5,Sapiens: A Brief History of Humankind,Â£54.23,In stock,Five,In stock (20 available),History,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
6,The Requiem Red,Â£22.65,In stock,One,In stock (19 available),Young Adult,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
7,The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,Four,In stock (19 available),Business,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,Three,In stock (19 available),Default,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,Four,In stock (19 available),Default,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
10,The Black Maria,Â£52.15,In stock,One,In stock (19 available),Poetry,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
11,"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,Two,In stock (19 available),Default,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
12,Shakespeare's Sonnets,Â£20.66,In stock,Four,In stock (19 available),Poetry,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
13,Set Me Free,Â£17.46,In stock,Five,In stock (19 available),Young Adult,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,Five,In stock (19 available),Sequential Art,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
15,Rip it Up and Start Again,Â£35.02,In stock,Five,In stock (19 available),Music,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,Three,In stock (19 available),Music,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
17,Olio,Â£23.88,In stock,One,In stock (19 available),Poetry,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
18,Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,One,In stock (19 available),Science Fiction,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
19,Libertarianism for Beginners,Â£51.33,In stock,Two,In stock (19 available),Politics,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
20,It's Only the Himalayas,Â£45.17,In stock,Two,In stock (19 available),Travel,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
21,In Her Wake,Â£12.84,In stock,One,In stock (19 available),Thriller,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg
22,How Music Works,Â£37.32,In stock,Two,In stock (19 available),Music,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,In stock (19 available),Food and Drink,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg
24,Chase Me (Paris Nights #2),Â£25.27,In stock,Five,In stock (19 available),Romance,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg
25,Black Dust,Â£34.53,In stock,Five,In stock (19 available),Romance,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg
26,Birdsong: A Story in Pictures,Â£54.64,In stock,Three,In stock (19 available),Childrens,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,In stock (19 available),Default,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg
28,Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,In stock (19 available),Default,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,In stock (18 available),Nonfiction,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
30,Wall and Piece,Â£44.18,In stock,Four,In stock (18 available),Art,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg
31,The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,In stock (18 available),Spirituality,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,In stock (18 available),Nonfiction,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
33,The Elephant Tree,Â£23.82,In stock,Five,In stock (18 available),Thriller,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
34,The Bear and the Piano,Â£36.89,In stock,One,In stock (18 available),Childrens,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
35,Sophie's World,Â£15.94,In stock,Five,In stock (18 available),Philosophy,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
36,Penny Maybe,Â£33.29,In stock,Three,In stock (18 available),Default,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
37,Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,Two,In stock (18 available),Default,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg
38,"In a Dark, Dark Wood",Â£19.63,In stock,One,In stock (18 available),Mystery,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
39,Behind Closed Doors,Â£52.22,In stock,Four,In stock (18 available),Thriller,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
40,You can't bury them all: Poems,Â£33.63,In stock,Two,In stock (17 available),Poetry,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg
